DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2012-10-05,198.9695583,3.334463346,29.11,70.89,60.76,25.57,6.1567,0.680529301,13.72,8.933901919,207.4576
2012-10-10,256.3274573,3.642578359,23.5697777,75.57848385,46.1,36.08,6.5115,2.854442344,16.8,3.304904051,217.6177
2012-10-15,135.7663879,3.922084759,34.84617512,72.33645467,46.85,39.1,5.496837397,6.29489603,10.47,5.845811588,138.2739968
2012-10-18,162.4015748,5.576524643,31.36890876,77.28777488,26.7,60.97,5.0608,5.15037733,12.3,0.490405117,121.1702
2012-10-20,136.1802847,3.386365068,21.81,78.19,37.04,44.3,5.3803,5.397090791,10.89,3.176972281,131.5969
2012-10-25,521.9548063,3.899415171,29.05219192,69.33675155,39.57,49.19,6.142279673,4.480151229,13.18,7.292110874,180.9325638
2012-10-28,137.1652515,3.773940971,37.12,62.88,34.01,50.19,5.8454,5.236294896,12.03,1.663113006,139.3294
2012-11-05,199.1398823,3.440860215,29.35,70.65,63.85,23.49,6.2327,0.680529301,13.87,8.933901919,206.7416
2012-11-10,259.5375723,3.636363636,32.83979535,68.98750878,48.05,34.72,6.6093,2.854442344,17.5,3.304904051,219.6869
2012-11-15,134.6819957,4.54195535,30.52751144,67.93218759,44.71,41.05,6.542347554,6.29489603,10.57,7.437134287,155.7675638
2012-11-18,163.0649094,5.560189476,33.47588345,67.79504961,27.06,60.7,5.205,5.143645828,12.68,0.490405117,123.1036
2012-11-20,136.0315394,3.505249961,27.2,72.8,37,44.62,5.416,3.600454738,11.06,3.176972281,128.6448
2012-11-25,506.4363144,4.370188284,28.24088291,66.94275198,40.5,48.16,6.187730433,4.480151229,13.1,7.292110874,155.8197178
2012-11-28,138.3589744,4.00160064,34.16,65.84,34.79,49.86,5.9063,5.236294896,12.08,1.663113006,135.9193
2012-12-05,196.0976624,3.658830116,29.02,70.98,66.84,21.36,6.319,0.680529301,13.91,8.933901919,206.2097
2012-12-10,260.9986505,3.627227044,34.01987191,64.84769833,46.42,36.45,6.902,2.854442344,17.51,3.304904051,219.9947
2012-12-15,134.5875543,4.148471616,35.66370992,64.25314425,43.81,41.89,5.876594825,6.29489603,10.63,7.289433676,152.5461015
2012-12-18,163.7106006,6.015037594,27.14347418,68.5275544,28.46,59.65,5.354,5.830536068,13.56,0.490405117,123.8596
2012-12-20,134.6751326,4.067027027,25.53,74.47,36.22,45.7,5.4516,2.235018827,11.24,3.176972281,126.9323
2012-12-25,521.2510024,3.914069775,36.65935299,68.87886274,42.31,46.58,5.439162804,4.480151229,13.06,7.292110874,219.8333944
2012-12-28,136.6295124,4.546488073,36.88,63.12,34.55,50.16,5.918,5.236294896,12.15,1.663113006,133.8179
2013-01-05,196.0784314,3.509387612,33.5,66.5,69.86,19.08,6.3938,0.680529301,13.93,8.933901919,200.9456
2013-01-10,260.9612142,3.548387097,37.73312745,64.67000451,45.54,37.75,6.9588,2.854442344,17.69,3.304904051,211.4506
2013-01-15,130.9055118,6.889411603,35.18605597,62.84488488,40.92,44.65,6.636126453,6.29489603,10.51,7.828016904,127.3399775
2013-01-18,163.1668558,5.857740586,33.23585896,66.75159356,30.56,57.82,5.354,0.913402008,14.64,0.490405117,123.0077
2013-01-20,135.2814191,3.268845897,30.48,69.52,40.17,41.65,5.4736,5.32809047,11.41,3.176972281,124.7088
2013-01-25,514.2857143,4.290797346,33.96477789,62.39778343,45.88,42.86,5.572634254,4.480151229,13.06,7.292110874,201.8849272
2013-01-28,135.6485594,4.032258065,39.08,60.92,35.94,48.6,5.9641,5.236294896,12.13,1.663113006,134.6488
2013-02-05,201.0053619,3.448275862,32.99,67.01,72.33,17.22,6.3868,0.680529301,13.9,8.933901919,197.2861
2013-02-10,264.7854441,3.847140292,35.27740717,61.41261148,46.63,36.93,6.9732,2.854442344,17.36,3.304904051,204.0597
2013-02-15,127.7139208,4.166666667,35.51194211,52.96039855,37.16,48.86,6.487439228,6.29489603,10.5,4.478545861,126.5909807
2013-02-18,158.839307,6.675567423,47.92087862,64.79347664,31.27,57.11,5.3229,2.353834521,15.45,0.490405117,122.6622
2013-02-20,136.5437158,3.572704537,33.13,66.87,40.69,41.78,5.4578,2.193511836,11.45,3.176972281,122.8786
2013-02-25,524.5663689,4.425210601,39.36313156,53.62924136,46.06,43.29,5.59680015,4.480151229,15.01,7.292110874,144.5132481
2013-02-28,136.9426752,4.00160064,49.6,50.4,37.28,47.46,5.9722,5.236294896,12.01,1.663113006,134.5123
2013-03-05,208.3333333,3.265306122,32.46,67.54,75.56,14.95,6.3715,0.680529301,13.92,8.933901919,199.7343
2013-03-10,264.7951442,3.573981415,35.94978523,73.42713352,48.46,35.07,6.8816,2.854442344,17.16,3.304904051,212.9383
2013-03-15,129.7662181,5.217092902,36.0317101,70.35402394,33.79,52.12,6.085244114,6.29489603,10.61,8.411158737,179.3002748
