DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2012-04-28,126.1812298,5.348189415,24.64,75.36,37.52,49.81,3.2356,8.771929825,7.93,4.617021277,109.5807
2012-05-05,213.2571278,4.166718751,25.63,74.37,18.88,72.02,3.3902,8.693957115,13.15,7.276595745,214.3594
2012-05-10,87.12410256,3.650987238,23.08333,76.91667,46.45,34.95,4.0453,5.828460039,7.55,2.489361702,87.5208
2012-05-15,136.2878788,3.333344444,20.08,79.92,30.21,55.43,3.8146,8.518518519,10.56,8.106382979,128.7997
2012-05-18,93.04083426,4.048582996,23.54,76.46,38.10333333,49.16666667,3.681383333,8.050682261,7.6,3.234042553,112.5667
2012-05-20,87.32517483,5.001250625,23.08333,76.91667,50.94,38.38,4.0002,9.571150097,6.23,6.70212766,68.9992
2012-05-25,75.20666681,4.003202562,23.08333,76.91667,45.33,44.36,3.607,9.766081871,7.46,2.510638298,70.9847
2012-05-28,127.6335312,4.764173416,23.08333,76.91667,36.81,49.86,3.231,8.771929825,7.87,4.617021277,104.7363
2012-06-05,210.1293771,4.175365344,25.58,74.42,20.6,69.08,3.4091,8.693957115,13.06,7.276595745,218.6803
2012-06-10,87.28162124,3.849114704,22.34667,77.65333,47.41,34.06,4.0793,5.828460039,7.5,2.489361702,88.8856
2012-06-15,135.1663055,3.557136505,20.3,79.7,31.43,53.72,3.8513,8.518518519,10.58,8.106382979,130.2977
2012-06-18,91.98337292,3.706449222,21.16,78.84,39.52166667,47.60833333,3.72605,8.050682261,7.6,3.234042553,115.8058
2012-06-20,85.8543883,5.122930127,22.34667,77.65333,50.64,38.78,4.0406,9.571150097,6.27,6.70212766,75.3893
2012-06-25,76.80860806,4.273504274,22.34667,77.65333,48.2,41.55,3.6427,9.766081871,7.65,2.510638298,73.615
2012-06-28,127.2955247,5.005005005,22.34667,77.65333,38.85,48.46,3.3333,8.771929825,7.92,4.617021277,107.9669
2012-07-05,207.7506596,4.155844156,26.07,73.93,22.56,66.5,3.446,8.693957115,13.03,7.276595745,221.5261
2012-07-10,86.68981481,3.706449222,22.14,77.86,49,32.8,4.1331,5.828460039,7.56,2.489361702,90.668
2012-07-15,134.3241042,3.506252648,23.32,76.68,33.39,51.34,3.8985,8.518518519,10.4,8.106382979,129.5648
2012-07-18,91.21657115,4.05590925,17.03,82.97,41.46833333,45.59,3.760383333,8.050682261,7.56,3.234042553,117.7021
2012-07-20,82.35294118,4.940275016,22.14,77.86,51.61,37.47,4.0566,9.571150097,6.17,6.70212766,77.4936
2012-07-25,76.44557823,4.003202562,22.14,77.86,51.98,38.05,3.6872,9.766081871,7.83,2.510638298,73.1567
2012-07-28,127.6335312,4.824009863,22.14,77.86,40.27,47.38,3.3409,8.771929825,8.03,4.617021277,113.8036
2012-08-05,204.4419134,4.168403501,24.17,75.83,25.34,63.06,3.4821,8.693957115,13.03,7.276595745,221.8508
2012-08-10,86.81108351,3.849114704,22.95667,77.04333,48.09,33.75,4.1962,5.828460039,7.56,2.489361702,92.153
2012-08-15,133.8849915,3.501945525,23.3,76.7,34.68,49.5,3.9559,8.518518519,10.37,8.106382979,129.7116
2012-08-18,90.81818182,4.003202562,21.4,78.6,42.68333333,44.20333333,3.820733333,8.050682261,7.53,3.234042553,118.3733
2012-08-20,79.46354167,4.968322774,22.95667,77.04333,52.88,36.62,4.1445,9.571150097,6.14,6.70212766,78.9473
2012-08-25,78.04464121,4.461440408,22.95667,77.04333,53.23,36.63,3.8048,9.766081871,8.02,2.510638298,73.7971
2012-08-28,128.0434783,4.349717268,22.95667,77.04333,41.88,45.66,3.3409,8.771929825,7.92,4.617021277,113.7801
2012-09-05,204.5454545,4.170141785,24.54,75.46,28.37,59.31,3.4957,8.693957115,13.07,7.276595745,219.6197
2012-09-10,87.54055808,3.923107101,21.71,78.29,48.14,33.6,4.1851,5.828460039,7.65,2.489361702,90.6809
2012-09-15,132.8894807,3.572704537,18.99,81.01,36.25,47.78,3.9681,8.518518519,10.42,8.106382979,131.8793
2012-09-18,90.30367232,4.002401601,21.6,78.4,43.81166667,42.93,3.84235,8.050682261,7.59,3.234042553,117.2075
2012-09-20,79.59302326,5.097490417,21.71,78.29,54.01,35.51,4.1391,9.571150097,6.19,6.70212766,78.6993
2012-09-25,76.84154743,4.170141785,21.71,78.29,54.29,35.59,3.9,9.766081871,8.41,2.510638298,77.7075
2012-09-28,127.5517865,3.846153846,21.71,78.29,41.81,45.79,3.3661,8.771929825,9,4.617021277,104.6582
2012-10-05,204.0136054,4.17101147,25.91,74.09,31.94,56.14,3.534,8.693957115,13.19,7.276595745,218.2015
2012-10-10,84.78581979,3.849114704,22.71667,77.28333,48.52,33.69,4.2675,5.828460039,7.7,2.489361702,89.3446
2012-10-15,133.044268,3.705075954,19.97,80.03,36.79,47.12,4.0914,8.518518519,10.45,8.106382979,129.7027
2012-10-18,91.25,3.849114704,22.27,77.73,44.12,42.73333333,3.89345,8.050682261,7.69,3.234042553,117.2546
2012-10-20,78.41020608,5.483486259,22.71667,77.28333,52.6,36.59,4.1258,9.571150097,6.17,6.70212766,75.2662
2012-10-25,75.54417414,3.931847969,22.71667,77.28333,55.26,35.14,3.9128,9.766081871,8.31,2.510638298,74.8326
2012-10-28,126.2755102,4.177121102,22.71667,77.28333,39.61,47.72,3.4292,8.771929825,9.71,4.617021277,116.1798
2012-11-05,218.125,4.366812227,25.48,74.52,35.33,52.6,3.5532,8.693957115,13.25,7.276595745,215.1094
2012-11-10,89.30698765,3.971688574,23.13333,76.86667,46.87,35.41,4.3154,5.828460039,7.76,2.489361702,86.694
2012-11-15,135.0686347,3.539823009,20.86,79.14,37.99,46.1,4.1437,8.518518519,10.52,8.106382979,130.4039
2012-11-18,92.28219697,3.916913947,23.06,76.94,44.67666667,42.31166667,3.90385,8.050682261,7.7,3.234042553,115.8449
2012-11-20,83.3125,5.263157895,23.13333,76.86667,54.23,35.43,4.1218,9.571150097,6.41,6.70212766,74.8726
2012-11-25,80.77367206,4.347826087,23.13333,76.86667,55.75,35.03,3.8699,9.766081871,8.08,2.510638298,75.7329
2012-11-28,129.7827239,4.652244708,23.13333,76.86667,37.89,49.3,3.4191,8.771929825,10.04,4.617021277,112.2567
2012-12-05,216.5298613,4.682274247,24.52,75.48,38.62,49.32,3.5813,8.693957115,13.25,7.276595745,211.8959
2012-12-10,88.44791703,4.005340454,21.43667,78.56333,46.69,36.03,4.3213,5.828460039,7.81,2.489361702,86.055
2012-12-15,134.7884788,4.255319149,19.04,80.96,39.49,44.72,4.1604,8.518518519,10.58,8.106382979,128.5816
2012-12-18,92.0212766,4,20.75,79.25,46.19,40.94333333,3.900033333,8.050682261,7.67,3.234042553,114.6104
2012-12-20,82.54132231,5.561735261,21.43667,78.56333,52.86,36.71,4.1019,9.571150097,6.17,6.70212766,75.7916
2012-12-25,79.3545255,5.147623087,21.43667,78.56333,61.03,30.74,3.7682,9.766081871,8.19,2.510638298,74.5017
2012-12-28,128.84,6.050567595,21.43667,78.56333,38.45,48.14,3.4671,8.771929825,10.31,4.617021277,110.8352
2013-01-05,218.1818182,4.404404581,25.12,74.88,41.17,46.77,3.626,8.693957115,13.26,7.276595745,210.4616
2013-01-10,88.5972321,3.849114704,23.09667,76.9033,47.65,35.74,4.3571,5.828460039,7.94,2.489361702,84.5481
2013-01-15,135.4284009,3.573981415,22.92,77.08,39.42,44.99,4.2327,8.518518519,10.6,8.106382979,126.916
2013-01-18,91.80043918,4.00160064,21.25,78.75,47.22,40.24166667,3.934,8.050682261,7.71,3.234042553,114.5219
