SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
73.36,74.66333,73.99,76.64,74.66333,74.66333,74.66333,74.21,75.18,76.83,74.5,75.18
74.66333,73.99,76.64,74.66333,74.66333,74.66333,74.21,75.18,76.83,74.5,75.18,75.18
73.99,76.64,74.66333,74.66333,74.66333,74.21,75.18,76.83,74.5,75.18,75.18,75.18
76.64,74.66333,74.66333,74.66333,74.21,75.18,76.83,74.5,75.18,75.18,75.18,74.15
74.66333,74.66333,74.66333,74.21,75.18,76.83,74.5,75.18,75.18,75.18,74.15,77.40667
74.66333,74.66333,74.21,75.18,76.83,74.5,75.18,75.18,75.18,74.15,77.40667,78.48
74.66333,74.21,75.18,76.83,74.5,75.18,75.18,75.18,74.15,77.40667,78.48,79.59
74.21,75.18,76.83,74.5,75.18,75.18,75.18,74.15,77.40667,78.48,79.59,77.40667
75.18,76.83,74.5,75.18,75.18,75.18,74.15,77.40667,78.48,79.59,77.40667,77.40667
76.83,74.5,75.18,75.18,75.18,74.15,77.40667,78.48,79.59,77.40667,77.40667,77.40667
74.5,75.18,75.18,75.18,74.15,77.40667,78.48,79.59,77.40667,77.40667,77.40667,76.04
75.18,75.18,75.18,74.15,77.40667,78.48,79.59,77.40667,77.40667,77.40667,76.04,77.82667
75.18,75.18,74.15,77.40667,78.48,79.59,77.40667,77.40667,77.40667,76.04,77.82667,77.99
75.18,74.15,77.40667,78.48,79.59,77.40667,77.40667,77.40667,76.04,77.82667,77.99,79.45
74.15,77.40667,78.48,79.59,77.40667,77.40667,77.40667,76.04,77.82667,77.99,79.45,77.82667
77.40667,78.48,79.59,77.40667,77.40667,77.40667,76.04,77.82667,77.99,79.45,77.82667,77.82667
78.48,79.59,77.40667,77.40667,77.40667,76.04,77.82667,77.99,79.45,77.82667,77.82667,77.82667
79.59,77.40667,77.40667,77.40667,76.04,77.82667,77.99,79.45,77.82667,77.82667,77.82667,75.21
77.40667,77.40667,77.40667,76.04,77.82667,77.99,79.45,77.82667,77.82667,77.82667,75.21,79.59667
77.40667,77.40667,76.04,77.82667,77.99,79.45,77.82667,77.82667,77.82667,75.21,79.59667,79.31
77.40667,76.04,77.82667,77.99,79.45,77.82667,77.82667,77.82667,75.21,79.59667,79.31,84.27
76.04,77.82667,77.99,79.45,77.82667,77.82667,77.82667,75.21,79.59667,79.31,84.27,79.59667
77.82667,77.99,79.45,77.82667,77.82667,77.82667,75.21,79.59667,79.31,84.27,79.59667,79.59667
77.99,79.45,77.82667,77.82667,77.82667,75.21,79.59667,79.31,84.27,79.59667,79.59667,79.59667
79.45,77.82667,77.82667,77.82667,75.21,79.59667,79.31,84.27,79.59667,79.59667,79.59667,76.54
77.82667,77.82667,77.82667,75.21,79.59667,79.31,84.27,79.59667,79.59667,79.59667,76.54,79.19667
77.82667,77.82667,75.21,79.59667,79.31,84.27,79.59667,79.59667,79.59667,76.54,79.19667,78.58
77.82667,75.21,79.59667,79.31,84.27,79.59667,79.59667,79.59667,76.54,79.19667,78.58,82.47
75.21,79.59667,79.31,84.27,79.59667,79.59667,79.59667,76.54,79.19667,78.58,82.47,79.19667
79.59667,79.31,84.27,79.59667,79.59667,79.59667,76.54,79.19667,78.58,82.47,79.19667,79.19667
79.31,84.27,79.59667,79.59667,79.59667,76.54,79.19667,78.58,82.47,79.19667,79.19667,79.19667
84.27,79.59667,79.59667,79.59667,76.54,79.19667,78.58,82.47,79.19667,79.19667,79.19667,77.61
79.59667,79.59667,79.59667,76.54,79.19667,78.58,82.47,79.19667,79.19667,79.19667,77.61,79.96
79.59667,79.59667,76.54,79.19667,78.58,82.47,79.19667,79.19667,79.19667,77.61,79.96,81.19
79.59667,76.54,79.19667,78.58,82.47,79.19667,79.19667,79.19667,77.61,79.96,81.19,81.08
76.54,79.19667,78.58,82.47,79.19667,79.19667,79.19667,77.61,79.96,81.19,81.08,79.96
79.19667,78.58,82.47,79.19667,79.19667,79.19667,77.61,79.96,81.19,81.08,79.96,79.96
78.58,82.47,79.19667,79.19667,79.19667,77.61,79.96,81.19,81.08,79.96,79.96,79.96
82.47,79.19667,79.19667,79.19667,77.61,79.96,81.19,81.08,79.96,79.96,79.96,77.29
79.19667,79.19667,79.19667,77.61,79.96,81.19,81.08,79.96,79.96,79.96,77.29,81.26333
79.19667,79.19667,77.61,79.96,81.19,81.08,79.96,79.96,79.96,77.29,81.26333,82.74
79.19667,77.61,79.96,81.19,81.08,79.96,79.96,79.96,77.29,81.26333,82.74,83.76
77.61,79.96,81.19,81.08,79.96,79.96,79.96,77.29,81.26333,82.74,83.76,81.26333
79.96,81.19,81.08,79.96,79.96,79.96,77.29,81.26333,82.74,83.76,81.26333,81.26333
81.19,81.08,79.96,79.96,79.96,77.29,81.26333,82.74,83.76,81.26333,81.26333,81.26333
81.08,79.96,79.96,79.96,77.29,81.26333,82.74,83.76,81.26333,81.26333,81.26333,77.73
79.96,79.96,79.96,77.29,81.26333,82.74,83.76,81.26333,81.26333,81.26333,77.73,78.56
79.96,79.96,77.29,81.26333,82.74,83.76,81.26333,81.26333,81.26333,77.73,78.56,79.43
79.96,77.29,81.26333,82.74,83.76,81.26333,81.26333,81.26333,77.73,78.56,79.43,78.52
77.29,81.26333,82.74,83.76,81.26333,81.26333,81.26333,77.73,78.56,79.43,78.52,78.56
81.26333,82.74,83.76,81.26333,81.26333,81.26333,77.73,78.56,79.43,78.52,78.56,78.56
82.74,83.76,81.26333,81.26333,81.26333,77.73,78.56,79.43,78.52,78.56,78.56,78.56
83.76,81.26333,81.26333,81.26333,77.73,78.56,79.43,78.52,78.56,78.56,78.56,78.14
81.26333,81.26333,81.26333,77.73,78.56,79.43,78.52,78.56,78.56,78.56,78.14,77.15
